Wall time,Step,Value
1675642418.322682,0,7.517428874969482
1675642418.4317975,1,7.452182769775391
1675642418.5523365,2,8.633359909057617
1675642418.6590085,3,7.506099700927734
1675642418.7662256,4,7.4999494552612305
1675642418.8726048,5,7.4598588943481445
1675642418.9834628,6,7.490960121154785
1675642419.0913754,7,7.499110698699951
1675642419.1991405,8,7.48220682144165
1675642419.3075495,9,7.362921714782715
1675642419.4150379,10,7.437260150909424
1675642419.5215545,11,7.373462200164795
1675642419.6286643,12,7.290722370147705
1675642419.7469757,13,8.70240306854248
1675642419.8538127,14,7.586549758911133
1675642419.9636607,15,7.479610919952393
1675642420.069936,16,7.458414554595947
1675642420.176877,17,7.334333419799805
1675642420.29622,18,8.539470672607422
1675642420.4026697,19,7.396209239959717
1675642420.5220678,20,8.672922134399414
1675642420.6386893,21,7.424806594848633
1675642420.758603,22,8.504687309265137
1675642420.86506,23,7.42385721206665
1675642420.9711757,24,7.48362922668457
1675642421.0785987,25,7.400953769683838
1675642421.1846294,26,7.5971598625183105
1675642421.2909296,27,7.458847522735596
1675642421.3983214,28,7.367244720458984
1675642421.505242,29,7.361939907073975
1675642421.6113615,30,7.428304195404053
1675642421.7309847,31,8.758132934570312
1675642421.8509955,32,8.71445083618164
1675642421.9615042,33,7.4023756980896
1675642422.0681267,34,7.395757675170898
1675642422.1742482,35,7.315977096557617
1675642422.280768,36,7.330940246582031
1675642422.3874483,37,7.563619613647461
1675642422.4944842,38,7.456486701965332
1675642422.6021938,39,7.486097812652588
1675642422.7094772,40,7.290596008300781
1675642422.8173206,41,7.459178924560547
1675642422.9248934,42,7.42521333694458
1675642423.0313494,43,7.522712230682373
1675642423.143194,44,7.462313175201416
1675642423.269822,45,8.70984935760498
1675642423.382261,46,7.419520854949951
1675642423.4885426,47,7.586971759796143
1675642423.5953367,48,7.34598445892334
1675642423.7146082,49,8.703857421875
