image,height,angle-top,angle-thigh,angle-leg,angle-foot,velocity-top-x,velocity-top-z,ang-velocity-top,ang-velocity-thigh,ang-velocity-leg,ang-velocity-foot
dataset/hopper-0.jpeg,1.2310332816135223,-0.006541636011113698,0.0034689643103809234,-0.08595502932586253,0.4410216184729308,0.7797510331597195,0.33249299062877397,0.7357541338542838,-0.062164467382674844,-0.9215613286994617,8.119511756105453
dataset/hopper-1.jpeg,1.2773852821629994,0.036731182441528995,0.012247136508399122,-0.2070618445701122,0.8100868286563114,0.7062605545050435,0.385281415421839,0.22745055209025497,0.11869847411061414,-1.6781790345670995,0.02302921947633245
dataset/hopper-2.jpeg,1.2747036533391174,-0.0562934318282983,-0.14029685935730776,-0.2826976383630883,0.7889975826570866,0.7076161805199283,-0.45586921294318306,-1.0202464196044085,-2.1316373340775336,-0.22801643441865838,-0.0660431581166224
dataset/hopper-3.jpeg,1.204744668345833,-0.12204557603597065,-0.31082259801223183,-0.26682941939372057,0.788682952608259,0.7877759079039545,-1.281419501108943,-0.34280966984831485,-1.6104840678846222,0.26768965979242176,0.0017280441338777999
dataset/hopper-4.jpeg,1.1208522849477753,-0.12794390009290724,-0.4063563509286611,-0.3086520717109983,0.7875863167590476,1.5940041703555257,-0.8809003862017964,0.29461958529221766,-0.4952691758650313,-1.6707601045605744,-0.03371312473034466
dataset/hopper-5.jpeg,1.033845256252357,-0.07598944175814652,-0.3652364837735905,-0.5354731076204924,0.7345548711437938,1.6106589238342877,-0.8155961459247405,0.7834607461701141,0.12362765967876434,-2.1646575573749414,0.6343375087577399
dataset/hopper-6.jpeg,1.0291781657200805,0.0008473665598527484,-0.33687768090488746,-0.6918192855774322,0.6094131329771288,1.726584746841904,0.7444405313419507,0.9967686026942447,0.6684258901649138,-1.590558712204217,-4.651344071577394
dataset/hopper-7.jpeg,1.110992633868804,0.07302882529310781,-0.3034873540793871,-0.7289222051978306,0.1765738190703142,1.9913248021065624,0.8915937866881055,1.3858095830250976,0.918380076429694,0.025123500428370638,-4.568347257966399
dataset/hopper-8.jpeg,1.146604805891243,0.10508890240778355,-0.27921736300735556,-0.7915740022105677,-0.17980202713343002,1.762640459364472,0.006996948892255321,0.6366882315733962,0.7259713237956393,-1.110162454205223,-3.225319547416259
dataset/hopper-9.jpeg,1.110568901521815,0.1414615599960785,-0.20204726013309457,-0.9485506314658415,-0.3803455865722059,1.639921829108144,-0.8933139229419905,0.6711676919811274,1.1016265879954934,-1.953638894987411,-1.1541204074867244
